Position:      0, Model: 1, Candidate: 1, Correct? Yes
Position:  20931, Model: 2, Candidate: 2, Correct? Yes
Position:  22307, Model: 3, Candidate: 3, Correct? Yes
Position:      0, Model: 1, Candidate: 1, Correct? Yes
Position:  32957, Model: 2, Candidate: 2, Correct? Yes
Position:  39563, Model: 3, Candidate: 3, Correct? Yes
Position:      0, Model: 1, Candidate: 1, Correct? Yes
Position:    550, Model: 2, Candidate: 2, Correct? Yes
Position:   4059, Model: 3, Candidate: 3, Correct? Yes
Position:      0, Model: 1, Candidate: 1, Correct? Yes
Position:   2516, Model: 2, Candidate: 2, Correct? Yes
Position:  21635, Model: 3, Candidate: 3, Correct? Yes
Position:      0, Model: 1, Candidate: 1, Correct? Yes
Position:  32334, Model: 2, Candidate: 2, Correct? Yes
Position:  38503, Model: 3, Candidate: 3, Correct? Yes
Position:      0, Model: 1, Candidate: 1, Correct? Yes
Position:   4566, Model: 2, Candidate: 2, Correct? Yes
Position:  12367, Model: 3, Candidate: 3, Correct? Yes
Position:      0, Model: 1, Candidate: 1, Correct? Yes
Position:  29569, Model: 2, Candidate: 2, Correct? Yes
Position: 131967, Model: 3, Candidate: 3, Correct? Yes
Position:      0, Model: 1, Candidate: 1, Correct? Yes
Position:  15522, Model: 2, Candidate: 2, Correct? Yes
Position:  43687, Model: 3, Candidate: 3, Correct? Yes
Position:      0, Model: 1, Candidate: 1, Correct? Yes
Position:  26416, Model: 2, Candidate: 2, Correct? Yes
Position:  62791, Model: 3, Candidate: 3, Correct? Yes
Position:      0, Model: 1, Candidate: 1, Correct? Yes
Position:  99498, Model: 2, Candidate: 2, Correct? Yes
Position: 103535, Model: 3, Candidate: 3, Correct? Yes
Position:      0, Model: 1, Candidate: 1, Correct? Yes
Position:  46729, Model: 2, Candidate: 2, Correct? Yes
Position: 198019, Model: 3, Candidate: 3, Correct? Yes
Position:      0, Model: 1, Candidate: 1, Correct? Yes
Position: 109477, Model: 2, Candidate: 2, Correct? Yes
Position: 155303, Model: 3, Candidate: 3, Correct? Yes
Position:      0, Model: 1, Candidate: 1, Correct? Yes
Position: 189016, Model: 2, Candidate: 2, Correct? Yes
Position: 224911, Model: 3, Candidate: 3, Correct? Yes
Position:      0, Model: 1, Candidate: 1, Correct? Yes
Position:  82273, Model: 2, Candidate: 2, Correct? Yes
Position: 240967, Model: 3, Candidate: 3, Correct? Yes
Position:      0, Model: 1, Candidate: 1, Correct? Yes
Position:  92911, Model: 2, Candidate: 2, Correct? Yes
Position: 189803, Model: 3, Candidate: 3, Correct? Yes
Position:      0, Model: 1, Candidate: 1, Correct? Yes
Position:  73123, Model: 2, Candidate: 2, Correct? Yes
Position: 226431, Model: 3, Candidate: 3, Correct? Yes
Position:      0, Model: 1, Candidate: 1, Correct? Yes
Position:  50846, Model: 2, Candidate: 2, Correct? Yes
Position: 111499, Model: 3, Candidate: 3, Correct? Yes
Position:      0, Model: 1, Candidate: 1, Correct? Yes
Position: 103008, Model: 2, Candidate: 2, Correct? Yes
Position: 110547, Model: 3, Candidate: 3, Correct? Yes
Position:      0, Model: 1, Candidate: 1, Correct? Yes
Position:   9540, Model: 2, Candidate: 2, Correct? Yes
Position:  19523, Model: 3, Candidate: 3, Correct? Yes
Position:      0, Model: 1, Candidate: 1, Correct? Yes
Position:  18053, Model: 2, Candidate: 2, Correct? Yes
Position: 157219, Model: 3, Candidate: 3, Correct? Yes
Position:      0, Model: 1, Candidate: 1, Correct? Yes
Position:  79339, Model: 2, Candidate: 2, Correct? Yes
Position:  93039, Model: 3, Candidate: 3, Correct? Yes
Position:      0, Model: 1, Candidate: 1, Correct? Yes
Position:   4218, Model: 2, Candidate: 2, Correct? Yes
Position:   7999, Model: 3, Candidate: 3, Correct? Yes
Position:      0, Model: 1, Candidate: 1, Correct? Yes
Position:  20112, Model: 2, Candidate: 2, Correct? Yes
Position:  28787, Model: 3, Candidate: 3, Correct? Yes
